 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
дата,день недели,ЕГЭ/ОГЭ и др.,8-1,9-1,9-2,9-3,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,11-1,11-2,11-3,11-4,11-5,11-6,11-7,11-8,11-9,11-10,11-11,11-12,дата,день недели
25 октября,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,26 октября,пн
26 октября,пн,,,,,,,,,,,,,,,,,,,"Физ. ПК  16:00, 1.3, 2.5",,,,,,,,27 октября,вт
27 октября,вт,,,,,,"Физ ПК 1.2, 2.10",,,,,,,,,,,,,,,,,,,,,28 октября,ср
28 октября,ср,,,,,,,,,,"Физ. ПК 16:00 5.6, 4.12",,,,,Физ ПК 16: 00 1.3,,Хим. КР,,,,,,,Физ ПК 16:00 3.10,,,29 октября,чт
29 октября,чт,,,,,,,,Физ. ПК 16:00 4.12,,,,"Физ. ПК 16:00 4.13, 4.9",,,,,,,,,,,,,,,30 октября,пт
30 октября,пт,"Пробный ЕГЭ по химии 16:00  1.3,  4.12",,,,,,,,Физ. ПК 10:20 1.3,,,,,Физ. ПК 10:20 1.3,,,,"Физ.ПК 15:15 3.13, 3.10, 5.6",,,,,"Физ.ПК 15:15 3.13, 3.10, 5.6",,,,31 октября,сб
31 октября,сб,,,,,,,,,,,,,,,Хим. ПК,,,,,,,,,,,,1 ноября,вс
1 ноября,вс,,КАНИКУЛЫ,,,,,,,,,,,,,,,,,,,,,,,,,2 ноября,пн
2 ноября,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ноября,пн
3 ноября,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ноября,вт
4 ноября,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ноября,ср
5 ноября,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ноября,чт
6 ноября,пт,МЭ ВсОШ МХК,,,,,,,,,,,,,,,,,,,,,,,,,,7 ноября,пт
7 ноября,сб,МЭ ВсОШ обществознание,,,,,,,,,,,,,,,,,,,,,,,,,,8 ноября,сб
8 ноября,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,9 ноября,вс
9 ноября,пн,МЭ ВсОШ физика,,,,,,,,,,,,,,,,,,,,,,,,,,10 ноября,пн
10 ноября,вт,МЭ ВсОШ русский,,,,,,,,,,,,,,,,,,,,,,,,,,11 ноября,вт
11 ноября,ср,"МЭ ВсОШ астрономия, физ-ра",,,,,"Мат. кол. 16:00, 12.11, 19.11 2.8, 2.7",,Мат. колл. 16:00 3.10,,,,,,,,,,,,,,,,,,,12 ноября,ср
12 ноября,чт,"МЭ ВсОШ экономика, физ-ра",,,,,,,,,,,,,,,,,,,,,,,,,,13 ноября,чт
