 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
дата,день недели,ЕГЭ/ОГЭ и др.,8-1,9-1,9-2,9-3,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,11-1,11-2,11-3,11-4,11-5,11-6,11-7,11-8,11-9,11-10,11-11,11-12,дата,день недели
14 февраля,ср,Итоговое собеседование у 9-х кл.,,,,,,,,,,,,,,,,,,,,,,,,,,11 февраля,ср
15 февраля,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,12 февраля,чт
16 февраля,пт,"Пробный ЕГЭ по химии 16:00 1.3, 4.12",,,,,,,,,,,,,,,,,,,,,,,,,,13 февраля,пт
17 февраля,сб,РЭ ВсОШ География,,,,,,,,,,,,,,,,,,,,,,"Информатика, комис. пересдача, 12.30, каб.1.18",,,,14 февраля,сб
18 февраля,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,15 февраля,вс
19 февраля,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,16 февраля,пн
20 февраля,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,17 февраля,вт
21 февраля,,РАЗГОВОРЫ О ВАЖНОМ 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 февраля,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,18 февраля,ср
23 февраля,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,19 февраля,чт
24 февраля,пт,Пробный ЕГЭ по информатике 16:00. Пробный ЕГЭ по биологии 16:00  ,,,,,,,,,,,,,,,,,,,,,,,,,,20 февраля,пт
25 февраля,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,21 февраля,сб
26 февраля,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,22 февраля,вс
27 февраля,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,23 февраля,пн
28 февраля,вт,РЭ ВсОШ Астрономия,,,,,,,,,,,,,,,,,,,,,,,,,,24 февраля,вт
1 марта,,РАЗГОВОРЫ О ВАЖНОМ 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 марта,ср,РЭ ВсОШ Астрономия,,,,,Театр,,,,,,,,,,,,,,,,,,,,,25 февраля,ср
3 марта,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,26 февраля,чт
4 марта,пт,Пробный ЕГЭ по биологии 16:00 ,,,,,,,,,,,,,,,,,,,,,,,,,,27 февраля,пт
5 марта,сб,РЭ ВсОШ Искусство (МХК),,,,,,,,,,,,,,,,,,,,,,,,,,28 февраля,сб
6 марта,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,1 марта,вс
7 марта,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,2 марта,пн
8 марта,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,3 марта,вт
9 марта,,РАЗГОВОРЫ О ВАЖНОМ 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 марта,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,4 марта,ср
11 марта,чт,,,,,,,,,,,,театр,,,,,,,,,,,,,,,5 марта,чт
12 марта,пт,"Пробный ЕГЭ по химии 16:00 1.3, 4.12","Концерт к 8 марта, 15:30",,,,,,,,,,,,,,,,,,,,,,,,,6 марта,пт
13 марта,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,7 марта,сб
14 марта,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,8 марта,вс
15 марта,пн,,"Дискотека, 20:00",,,,,,,,,,,,,,,,,,,,,,,,,9 марта,пн
16 марта,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,10 марта,вт
17 марта,,РАЗГОВОРЫ О ВАЖНОМ 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 марта,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,11 марта,ср
19 марта,чт,,,,,,,,,Физ.коллокв.  510 гр. 17:00 4.9,,,,,Физ.коллокв.  520 гр. 16:00  4.9,,,,,,,,,,,,,12 марта,чт
20 марта,пт,,,Генеральная уборка в общежитиях,,,,,,,,,,,,,,,,,,,,,,,,13 марта,пт
21 марта,сб,,,,,,,,,Физ.коллокв.  509 гр. 16:00 4.9,,,,,Физ.коллокв.  519 гр. 16:00 4.9,,,,,,,,,,,,,14 марта,сб
22 марта,вс,,"ФМШоу, Актовый зал",,,,,,,,,,,,,,,,,,,,,,,,,15 марта,вс
23 марта,пн,,,,,,,,,,,,,,,,,,,"Физ. ПК 16:00 1.3, 2.6",,,,,Физ.ПК 16:00 5.6,,,16 марта,пн
24 марта,вт,,,,,,"Физ. ПК 8:30 1.2, 2.10",,,,"Физ. ПК 16:00  4.12, 4.13",,,,,,,,,,,,,,,,,17 марта,вт
25 марта,ср,,,,,,,,Физ. ПК 16:00 5.6,,"Хим. ПК 16:00 1.3, 4.12",,,,,"Физ ПК 16:00 3.13, 3.14",,Хим.ПК 8:30,Мат. колл. 18:00 3.7,"Биол. ПК 16:00 4.12, 4.13, 4.5, 4.8 16:00",,,,,,,,18 марта,ср
26 марта,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,19 марта,чт
27 марта,пт,"Пробный ЕГЭ по физике 16:00 1.3, 3.6, 3.7, 3.9, 3.5, 3.8",,,,Хим. ПК 4.12,,,,,,,"Физ. ПК 16:00, 5.6, 5.1",,,,,,,,,,,,,,,20 марта,пт
28 марта,сб,,,,,,,,,,,,,,,,,,"Физ. ПК 15:30 5.6, 3.13, 3.14 ",,,,,"Физ. ПК 15:30 5.6, 3.13, 3.14",,,,21 марта,сб
29 марта,вс,"Пробный ЕГЭ и ОГЭ по русс. яз., 10:00 1.3, 2.10, 2.3, 2.4, 2.5, 3.10, 3.13, 3.14, 5.6",КАНИКУЛЫ,,,,,,,,,,,,,,,,,,,,,,,,,22 марта,вс
30 марта,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,23 марта,пн
31 марта,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,24 марта,вт
1 апреля,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,25 марта,ср
2 апреля,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,26 марта,чт
3 апреля,пт,Пробный ЕГЭ по биологии 16:00 ,,,,,,,,,,,,,,,,,,,,,,,,,,27 марта,пт
4 апреля,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,28 марта,сб
5 апреля,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,29 марта,вс
6 апреля,пн,,,,,,,,,,,,,,,,,,,,,,,Колл. мат. 16:00 4.13,,,,30 марта,пн
7 апреля,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,31 марта,вт
8 апреля,ср,,,,,,,,Мат. колл. 15:30 3.7,,,,,,,,,,,,,,,,,,,1 апреля,ср
9 апреля,чт,,,,,,,,,Театр,,,,,,,,,,,,,,,,,,2 апреля,чт
10 апреля,пт,"Пробный ЕГЭ, ОГЭ математика 1.3, 2.10, 2.3, 2.4, 2.5,  3.13, 3.14,  5.6, 4.12",,,,,,,,,,,,,,,,,,,,,,,,,,3 апреля,пт
11 апреля,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,4 апреля,сб
12 апреля,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,5 апреля,вс
13 апреля,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,6 апреля,пн
14 апреля,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,7 апреля,вт
15 апреля,ср,,,,,,Мат. колл. 16:00 3.14,,,,,,,Мат. колл. 16:00 3.2,,,,,,,,,,,,,,8 апреля,ср
16 апреля,чт,,,,,,,,,"Мат.колл. 510 гр. 12:30, 2.10;  509, 18:00 3.5",,,"Мат. колл.  516 15:00, 515 16:30  3.10",,"Мат.колл.  520 гр. 16:00, 519 гр. 18:00 3.5",,,,,,,,,,,,,9 апреля,чт
17 апреля,пт,"Пробный ЕГЭ по химии 16:00 1.3, 4.12",,,,,,,,,,,,,,,,,,,,,,,,,,10 апреля,пт
18 апреля,сб,,,Колл.мат. 15:30 2.10,,,,,,,,,,,,,,,,,,,,,,,,11 апреля,сб
19 апреля,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,12 апреля,вс
20 апреля,пн,,,,,,,,,,,,,,,,,Мат. колл. 15:30 4.9,,,,,,,Мат. колл. 15:30 4.9,,,13 апреля,пн
21 апреля,вт,,,,,,,,,,Мат. колл. 16:00 3.5,,,,,,,,,,,,,,,,,14 апреля,вт
22 апреля,ср,,,,,,Мат. колл. 16:00 3.14,,,,,Мат. колл. 15:30 3.6,,,,,,,,,,,,,,,,15 апреля,ср
23 апреля,чт,,,,,Мат. колл. 15:30 2.5,,,,,,,,,,,,,,,,,,,,,,16 апреля,чт
24 апреля,пт,"Репетиционный ЕГЭ по русскому языку, 15:30 1.3",,Генеральная уборка в общежитиях,,,,,,,,,,,,,,,,,,,,,,,,17 апреля,пт
25 апреля,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,18 апреля,сб
26 апреля,вс,МНСК,,,,,,,,,,,,,,,,,,,,,,,,,,19 апреля,вс
27 апреля,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,20 апреля,пн
28 апреля,вт,"Репетиционный ОГЭ по русскому, 15:30 3.2",,,,,,,,,,,,,,,,,,,,,,,,,,21 апреля,вт
29 апреля,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,22 апреля,ср
30 апреля,чт,,,,,,,,,,,,,,,,,,,Мат. колл. 15:30 ,,Мат.колл. 15:30 1.3,,,,,,23 апреля,чт
1 мая,пт,"Пробный ЕГЭ по информатике 16:00, 1.15, 1.16, 1.17, 1.18, 1.20, 1.21; Пробный ОГЭ по физике 5.6, 5.7",,,,,,,,,,,,,,,театр,,,,,,,,,,,24 апреля,пт
2 мая,сб,,,,,,,,,,,,,,,,,,,,,,,,Мат. Вып. зачет. 8:30,,,25 апреля,сб
3 мая,вс,,Кубик КВН,,,,,,,,,,,,,,,,,,,,,,,,,26 апреля,вс
4 мая,пн,Школьная проектная конференция,,"Физика 16:00 4.4, Математика 16:00 3.3, 2.10",,,,,,,,,,,,,,,,,,,,,"Физика 16:00 4.4, Математика 16:00 3.3",,,27 апреля,пн
5 мая,вт,Школьная проектная конференция,,"Информатика 16:00 1.15, 1.16",,,,,,,,,,,,,,Мат. Вып. зачет. 8:30,,,,,,,"Информатика 1.15, 1.16",,,28 апреля,вт
6 мая,ср,Школьная проектная конференция,,Биология 16:00 4.5,,,,,,,,,,,,,,,,,,,,,Биология 16:00 4.5,,,29 апреля,ср
7 мая,чт,Школьная проектная конференция,,"Химия 16:00 4.12, Организационные проекты 16:00 2.5, Общественнонаучные проекты 16:00 4.9, 3.3, Физика 16:00 3.4",,,,,,,,,,,,,,,,,,,,,"Химия 16:00 4.12, Организационные проекты 16:00 2.5, Общественнонаучные проекты 16:00 4.9, 3.3, Физика 16:00 3.4",,,30 апреля,чт
8 мая,пт,,,,,,,,,,,,,,,,,,,,,,,,,,,1 мая,пт
9 мая,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,2 мая,сб
10 мая,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,3 мая,вс
11 мая,пн,"Открытая лекция: ""Блокада Ленинграда: причины и начало"" 18:00 1.2",,,,,,,,,,,,,,,,,,,,,,,,,,4 мая,пн
12 мая,вт,,,,,,,,,,"Физ. ПК 16:00 4.12, 4.13",,Биол. ПК 16:00 1.3,,,,,,,,,,,,,,,5 мая,вт
13 мая,ср,,,,,,Биол. ПК 16:00 4.12,,,Биол. ПК 16:00 4.13,Конс. хим. 16:00 1.3,,,,Биол. ПК 16:00 4.9,,,,,,,,,,Био. ПК 521 гр. 16:00 4.2,,,6 мая,ср
14 мая,чт,,,Физ. колл. 15:30 5.6,,,,,,,Хим. ПК 16:00 1.3,,,,,,,,,,,,,,,,,7 мая,чт
15 мая,,,"Торжественное собрание, посвященное Дню Победы (11:50, Актовый зал)",,,,,,,,,,,,,,,,,,,,,,,,,,
16 мая,пт,"Пробный ЕГЭ по химии 16:00 1.3, 4.12",,,,,,,,,,,,,Физ. колл. 16:00  5.6,,,,,,,,,,,,,8 мая,пт
17 мая,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,9 мая,сб
18 мая,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,10 мая,вс
19 мая,пн,,,,,,,,,Хим. ПК 1.3 16:00,,,,,Хим. ПК 1.3 16:00,,,,,,,,,,,,,11 мая,пн
20 мая,вт,,,"Биол. пк 18:00 4.12, 4.13",,Хим. Д.з. 16:00 1.3,,,"БИОЛ. ПК 16:00 4.12, 4.13, 4.8, 4.5",,"БИОЛ. ПК 16:00 4.12, 4.13, 4.8, 4.5",,,,,,,,,,,,,,,,,12 мая,вт
21 мая,ср,,,,,,Начало военных сборов 15:00,,,,,,,,,,,Биол. П.К. 16:00 4.12,,,,,,,"Физ. дз. 4.6, 4.7 16:00",,,13 мая,ср
22 мая,чт,,,Хим. ПК 16:00 1.3,,Биол. ПК. 18:00 4.12,Военные сборы,,,,,,,,,,,,,,,,,,,,,14 мая,чт
23 мая,пт,"Пробный ЕГЭ по биологии 16:00 / Пробный ЕГЭ по физике 16:00 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 3.13",,,,,,,,,,,,,,,,,,,,,,,,,,15 мая,пт
24 мая,сб,,,,,,,,,"Физ. колл. 509 гр. 12:30, 2.10; 510 гр.  16:00, 2.10. ",,,"Хим. ИКР.  15:30 1.3, 1.21",,,,,Физ. ДЗ. 8:30 10:20,,,,,,,,,,16 мая,сб
25 мая,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,17 мая,вс
26 мая,пн,,"Конкурс ""Работа над математическими ошибками"" 17:00 - 19:00 1.2 (для желающих)",,,,,,,,,,,,,,,,,,,,,,,,,18 мая,пн
27 мая,вт,"Пробный ОГЭ по Информатике 16:00 1.16, 1.17, 1.18,  ",,,,,,,,,,,,,,,,,,,,,,,,,,19 мая,вт
28 мая,ср,"Пробный ЕГЭ по Информатике 16:00 1.14, 1.15, 1.16, 1.17, 1.18, 1.20, 1.21 ",,,,,,,,,Конс. физ 16:00 1.2,,,,,,,,,Мат. д.з. 15:30 1.3,,,,,,,,20 мая,ср
29 мая,,,сессия,,,,"СЕССИЯ (экзамены с 9:00, если не указано другое время)",,,,,,,,,,,,,,,,,,,,,,
30 мая,чт,,Хим. П 4.13,,,,Физ П 1.3 2.5,,Мат П 2.3,Мат П 4.12,Физ У 3.5,,,,Мат П 4.12,,,,"Физ. ПК 3.13, 3.14 5.6 15:30","Биология. Пересдача. 4.8, 15:30",,,,"Физ. ПК 3.13, 3.14, 5.6 15:30",,,,21 мая,чт
31 мая,пт,,Конс. физ. 5.7 15:00,,,,,,,,,Физ У 3.10,Мат П 1.3,,,,,,,,,,,,,,,22 мая,пт
1 июня,сб,,,,,,,,конс 16:00 2.3,Конс. Мат 18:00 1.3,,,Конс. мат. 10:20 1.3,,Конс. Мат 18:00 1.3,,,,,Физ. диф.зачет 15:30 4.12,,,,,,,,23 мая,сб
2 июня,вс,,Физ. У 5.7,,,,Физ У 4.9,, Мат У 2.4,Мат У 2.5,"Мат П 1.3, 2.3",,,Мат У 2.10,,,,,,,,,,,,,,24 мая,вс
3 июня,пн,,Физ. У 5.7,"СУНЦ МАТЕМАТИКА 5.6, 4.12., с 9:00",,,,Физ У 4.9,,,,,Мат У 3.10,,Мат. У 4.13,"ЭКЗАМЕН ЗА СУНЦ ПО МАТЕМАТИКЕ с 9:00 , ауд. 1.3, 2.10, 2.3, 2.4, 2.5,  3.13, 3.14.",,,,,,,,,,,,25 мая,пн
4 июня,вт,,,"СУНЦ ФИЗИКА 5.6, с 9:00",,4.9,,,,Конс.физ. 9:00 1.2,Кон. мат. 11:00 1.2,,,,Конс.физ. 9:00 1.2,"ЭКЗАМЕН ЗА СУНЦ ПО ФИЗИКЕ, с 9:00, ауд. 1.3, 4.13",,,,,,,,,,,,26 мая,вт
5 июня,ср,,Мат. П 3.10,,,,"Мат П 4.12, 4.9",,"Хим 10:00 2.3, 2.4",Физ П 5.6,Мат У 2.5,,"Физ П 3.14, 3.13",,Физ П 5.6,"ЭКЗАМЕН ЗА СУНЦ ПО ХИМИИ 10:00 до 13:00, ауд.  1.3 , апелляция по физике экз.за СУНЦ 9:00, ауд.1.3",,,,,,,,,,,,27 мая,ср
6 июня,,,Последний звонок 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,
7 июня,чт,,Конс. Мат.  10:00 3.10,"Лекции по подготовке к ОГЭ  ""задачи 20, 22"" 
Цыплакова М.А. 10:00 1.3",,,Конс. мат.  11:00 1.2,,Конс. физ. 16:00 2.4,,,Мат У   2.3,Конс. физ. 16:00 5.6,,,"ЭКЗАМЕН ЗА СУНЦ ПО БИОЛОГИИ, с 10:00 до 12:00, ауд.  4.13, 4.12",,,,,,,,,,,,28 мая,чт
8 июня,пт,"Пробный ЕГЭ  по Химии 10:00 1.3, 4.12",,"Лекции по подготовке к ОГЭ ""Планиметрия"" 
Петрова О.П. 10:00 1.2",,,Мат У 2.3,,,,Конс. хим. 12:30 1.2,,Физ У 3.10,,,"ЭКЗАМЕН ЗА СУНЦ ПО ИНФОРМАТИКЕ, с 10:00 до 13:00 1.14, 1.15, 1.16, 1.17, 1.18, 1.21",,,,,,,,,,,,29 мая,пт
9 июня,сб,,Мат. У 3.10,"Лекции по подготовке к ОГЭ  ""1 часть"" 
Курилкин Д.В. 10:00 5.6",,,,Мат У 2.3,Физ 4.9,,Химия П 1.3,,,Физ У 4.12,,"Лекции по подготовке к ЕГЭ ""Задача 18 - Задачи с параметрами"" 10:00 1.2, Порядок проведения ЕГЭ 12:00 1.3 Трепакова С.Б.; ""Задачи 13, 15 - Уравнения и неравенства""  16:00, 18:00 Стукачева М.В. 1.3.
",,,,,,,,,,,,30 мая,сб
10 июня,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,31 мая,вс
11 июня,пн,"ЕГЭ история, литература, химия",,,,,,,,,,,,,,"Лекции по подготовке к ЕГЭ ""Задача 19"" Пащенко М.Г. 16:00 1.3",,,,,,,,,,,,1 июня,пн
12 июня,вт,ОГЭ математика,,,,,Мат. пересдача 9:00 4.13  Физ. пересдача 9.00 4.5,,,Мат. пересдача 9:00 4.12,,Биология пересдача 10:00 4.5,Мат. пересдача 9:00 2.4,,Мат. пересдача 9:00  4.12,"Русский язык 11-8, 11:00 3.13",,,,,,,,,,,,2 июня,вт
13 июня,ср,Первые  пересдача (с 1.06. по 5.06.2026),Род. собр. 18:30 1.3, Консультация к ОГЭ по Физике Семенова И.Ю. 11:00 5.6.,,,,,,Биолог. пересд. 16:00,Пересдача Мат. 15:00  2.3,,,,,"  Русский язык 11-8 12:00 3.13. Русский язык 11-5,6 10:00 3.13.",,,,,,,,,,,,3 июня,ср
14 июня,чт,ЕГЭ русский язык,,,,,,,"Химия, с 16:00,  ауд. 4.2, Физика, с 10.00, ауд. 4.5",,,,,"Биолог., с 18:00, 4.5",,,,,,,,,,,,,,4 июня,чт
15 июня,пт,ОГЭ все предметы(кроме русского и математики),Хим. пересдача 4.12,,,,,Физ. пересд. 9.00 4.5,,Физ. пересд. 9:00 4.13,Химия пересд. 15:00 4.5,,"Химия пересд. (письм), 9:30 , 4.2.",,Физ. пересд. 9:00 4.13,"Лекции по подготовке к ЕГЭ ""1 часть ЕГЭ"" Попова Н.А. 9:30;   ""Задача 16 - Экономические задачи"" 12:00 Кузнецов В.В. 1.3.",,,,,,,,,,,,5 июня,пт
16 июня,сб,ОГЭ информатика и иностранные языки,,,,,,,,,,,Физ. пересдача 9:00 5.1,,,"Лекции по подготовке к ЕГЭ ""Задача 14 - Стереометрия"" 10:00 Ню В.В, ""Задача 17 - Планиметрия"" 12:00 Журавлёва Е.Н. , 1.3 ",,,,,,,,,,,,6 июня,сб
17 июня,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,7 июня,вс
18 июня,пн,"ЕГЭ математика (и профильная, и базовая)",,"Русский язык 9-1,2,3 12:00 1.3.",,,,,,,,,,,,"  Интенсив по подготовке к ЕГЭ по Физике: ""Тестовая часть"" 16:30, ""Оформление заданий 22 и 23"" 20:00  1.3.",,,,,,,,,,,,8 июня,пн
19 июня,вт,ОГЭ русский язык,,,,,,,,,,,,,,"Интенсив по подготовке к ЕГЭ по Физике: ""Вторая часть, задания 24 и 25"". 10:00 , Консультация с экспертом ЕГЭ по ОФОРМЛЕНИЮ задач по Физике Семеновой И.Ю. 15:00; ""Задания 24, 25"" 17:00 1.3",,,,,,,,,,,,9 июня,вт
20 июня,ср,,,,,,,,,,,,,,,"Интенсив по подготовке к ЕГЭ по Физике: ""Задаения 21 и 26"" 10:00 1.3, ",,,,,,,,,,,,10 июня,ср
21 июня,чт,"ЕГЭ обществознание, физика",,,,,,,,,,,,,,,,,,,,,,,,,,11 июня,чт
22 июня,пт,,,,,,,,,,,,,,,,,,,,,,,,,,,12 июня,пт
23 июня,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,13 июня,сб
24 июня,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,14 июня,вс
25 июня,пн,"ЕГЭ биология, география, иностранные языки (письменно)",,,,,,,,,,,,,,,,,,,,,,,,,,15 июня,пн
26 июня,вт,ОГЭ все предметы(кроме русского и математики),,,,,,,,,,,,,,,,,,,,,,,,,,16 июня,вт
27 июня,ср,,,,,,,,,,,,,,,Лекция перед КЕГЭ. 11:00 1.2,,,,,,,,,,,,17 июня,ср
28 июня,чт,"ЕГЭ иностранные языки (устная часть), информатика",,,,,,,,,,,,,,,,,,,,,,,,,,18 июня,чт
29 июня,пт,ОГЭ все предметы(кроме русского и математики),,,,,,,,,,,,,,,,,,,,,,,,,,,
30 июня,,"ЕГЭ иностранные языки (устная часть), информатика",,,,,,,,,,,,,,,,,,,,,,,,,,19 июня,пт
1 июля,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,20 июня,сб
2 июля,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,21 июня,вс
3 июля,пн,"резерв: информатика, литература, русский язык, физика, химия, иностранные языки П.",,,,,,,,,,,,,,,,,,,,,,,,,,,
4 июля,вт,"резерв ЕГЭ: биология, география, математика б.,п.,история, обществознание, иностранные языки У..",,,,,,,,,,,,,,ВЫПУСКНОЙ 11-х классов,,,,,,,,,,,,,
5 июля,ср,резерв ЕГЭ: по всем учебным предметам,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 июля,чт,резерв ЕГЭ: ПО всем учебным предметам,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 октября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 ноября,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 декабря,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
